date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:45	85/85	---MCZ	200	added ('OK')	text/plain	etag:W/%2260c6022c-41%22	https://getzeus.app/robots.txt		(from )
16:15:45	20654/20654	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2013:03:40%20GMT	https://getzeus.app/	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/index.html	(from )
16:15:46	1886/1886	---MCZ	200	added ('OK')	text/css	etag:W/%2260c6022c-75e%22	https://getzeus.app/css/normalize.css	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/css/normalize.css	(from https://getzeus.app/)
16:15:46	7529/7529	---M-Z	200	added ('OK')	application/javascript	etag:%2260bec7a3-ce1%22	https://arc.io/widget.min.js	C:/Users/dell/Desktop/abujahl/abujahl/arc.io/widget.min.js	(from https://getzeus.app/)
16:15:46	30040/30040	---MCZ	200	added ('OK')	text/css	etag:W/%2260c6022c-7558%22	https://getzeus.app/css/base.css	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/css/base.css	(from https://getzeus.app/)
16:15:47	138716/138716	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Jun%202021%2023:15:45%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/dell/Desktop/abujahl/abujahl/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://getzeus.app/)
16:15:47	22890/22890	---MCZ	200	added ('OK')	text/css	etag:W/%2260c6022c-596a%22	https://getzeus.app/css/zeus.css?1cc1	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/css/zeus4f47.css	(from https://getzeus.app/)
16:15:47	1372/1372	---M--	200	added ('OK')	image/png	etag:%2260c6022c-55c%22	https://getzeus.app/apple-icon-57x57.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-57x57.png	(from https://getzeus.app/)
16:15:48	1375/1375	---M--	200	added ('OK')	image/png	etag:%2260c6022c-55f%22	https://getzeus.app/apple-icon-60x60.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-60x60.png	(from https://getzeus.app/)
16:15:48	1674/1674	---M--	200	added ('OK')	image/png	etag:%2260c6022c-68a%22	https://getzeus.app/apple-icon-72x72.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-72x72.png	(from https://getzeus.app/)
16:15:48	1712/1712	---M--	200	added ('OK')	image/png	etag:%2260c6022c-6b0%22	https://getzeus.app/apple-icon-76x76.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-76x76.png	(from https://getzeus.app/)
16:15:49	2616/2616	---M--	200	added ('OK')	image/png	etag:%2260c6022c-a38%22	https://getzeus.app/apple-icon-114x114.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-114x114.png	(from https://getzeus.app/)
16:15:49	2856/2856	---M--	200	added ('OK')	image/png	etag:%2260c6022c-b28%22	https://getzeus.app/apple-icon-120x120.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-120x120.png	(from https://getzeus.app/)
16:15:49	3463/3463	---M--	200	added ('OK')	image/png	etag:%2260c6022c-d87%22	https://getzeus.app/apple-icon-144x144.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-144x144.png	(from https://getzeus.app/)
16:15:49	3715/3715	---M--	200	added ('OK')	image/png	etag:%2260c6022c-e83%22	https://getzeus.app/apple-icon-152x152.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-152x152.png	(from https://getzeus.app/)
16:15:50	4649/4649	---M--	200	added ('OK')	image/png	etag:%2260c6022c-1229%22	https://getzeus.app/apple-icon-180x180.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/apple-icon-180x180.png	(from https://getzeus.app/)
16:15:50	4747/4747	---M--	200	added ('OK')	image/png	etag:%2260c6022c-128b%22	https://getzeus.app/android-icon-192x192.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/android-icon-192x192.png	(from https://getzeus.app/)
16:15:50	833/833	---M--	200	added ('OK')	image/png	etag:%2260c6022c-341%22	https://getzeus.app/favicon-32x32.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/favicon-32x32.png	(from https://getzeus.app/)
16:15:51	2178/2178	---M--	200	added ('OK')	image/png	etag:%2260c6022c-882%22	https://getzeus.app/favicon-96x96.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/favicon-96x96.png	(from https://getzeus.app/)
16:15:51	514/514	---M--	200	added ('OK')	image/png	etag:%2260c6022c-202%22	https://getzeus.app/favicon-16x16.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/favicon-16x16.png	(from https://getzeus.app/)
16:15:52	725/725	---MCZ	200	added ('OK')	application/json	etag:W/%2260c6022c-2d5%22	https://getzeus.app/manifest.json	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/manifest.json	(from https://getzeus.app/)
16:15:52	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%22603e7578-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/dell/Desktop/abujahl/abujahl/code.jquery.com/jquery-3.6.0.min.js	(from https://getzeus.app/)
16:15:52	962/962	---MCZ	200	added ('OK')	application/javascript	etag:%223c2-ekNqUptqD1AEc5D0dUT6kSacGE0%22	https://unpkg.com/ionicons@5.4.0/dist/ionicons.js	C:/Users/dell/Desktop/abujahl/abujahl/unpkg.com/ionicons@5.4.0/dist/ionicons.js	(from https://getzeus.app/)
16:15:53	20654/20654	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2013:03:40%20GMT	https://getzeus.app/index.html	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/index-2.html	(from https://getzeus.app/)
16:15:53	11830/11830	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2013:03:40%20GMT	https://getzeus.app/about.html	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/about.html	(from https://getzeus.app/)
16:15:53	11561/11561	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2013:03:40%20GMT	https://getzeus.app/library.html	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/library.html	(from https://getzeus.app/)
16:15:54	2031/2031	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-7ef%22	https://getzeus.app/images/twitter-icon.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/twitter-icon.svg	(from https://getzeus.app/)
16:15:54	2357/2357	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-935%22	https://getzeus.app/images/discord-icon.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/discord-icon.svg	(from https://getzeus.app/)
16:15:54	3026/3026	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-bd2%22	https://getzeus.app/images/Menu.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/Menu.svg	(from https://getzeus.app/)
16:15:54	1321/1321	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-529%22	https://getzeus.app/images/Close.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/Close.svg	(from https://getzeus.app/)
16:15:55	2819/2819	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jun%202021%2013:03:40%20GMT	https://getzeus.app/install.html	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/install.html	(from https://getzeus.app/)
16:15:55	1167/1167	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-48f%22	https://getzeus.app/images/shape-back.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/shape-back.svg	(from https://getzeus.app/)
16:15:56	1037/1037	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260c6022c-40d%22	https://getzeus.app/images/shape-front.svg	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/images/shape-front.svg	(from https://getzeus.app/)
16:15:56	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=606e631a8e07f8fa8b438b52	C:/Users/dell/Desktop/abujahl/abujahl/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c83a17.js	(from https://getzeus.app/)
16:15:57	183738/183738	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260c6022c-2cdba%22	https://getzeus.app/js/webflow.js	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/js/webflow.js	(from https://getzeus.app/)
16:15:57	297981/297981	---M--	200	added ('OK')	image/jpeg	etag:%229ff72b32b506f0970340da9ff6790c10%22	https://uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/6070b3f1a3dddf7c9bdb86de_zeus-iphone-hero-large.jpg	C:/Users/dell/Desktop/abujahl/abujahl/uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/6070b3f1a3dddf7c9bdb86de_zeus-iphone-hero-large.jpg	(from https://getzeus.app/css/zeus.css?1cc1)
16:15:58	415187/415187	---M--	200	added ('OK')	image/png	etag:%221879fb0a5f04880370b75a05489106cf%22	https://uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/6074e9d31b72b639913f9c10_iphone12_1%402x.png	C:/Users/dell/Desktop/abujahl/abujahl/uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/6074e9d31b72b639913f9c10_iphone12_1@2x.png	(from https://getzeus.app/css/zeus.css?1cc1)
16:15:58	347415/347415	---M--	200	added ('OK')	image/png	etag:%22fb3e3ccf68e1fc8a072634882bccabe8%22	https://uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/607253e5e5f2ce6933e82415_zeus-iphone-hero-small.png	C:/Users/dell/Desktop/abujahl/abujahl/uploads-ssl.webflow.com/606e631a8e07f8fa8b438b52/607253e5e5f2ce6933e82415_zeus-iphone-hero-small.png	(from https://getzeus.app/css/zeus.css?1cc1)
16:15:58	32120/32120	---M--	200	added ('OK')	image/png	etag:%2260c6022c-7d78%22	https://getzeus.app/app/static/icons/zeus.png	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/app/static/icons/zeus.png	(from https://getzeus.app/about.html)
16:15:59	1723/1723	---MCZ	200	added ('OK')	application/json	etag:W/%2260c6022c-6bb%22	https://getzeus.app/appdata.json	C:/Users/dell/Desktop/abujahl/abujahl/getzeus.app/appdata.json	(from https://getzeus.app/about.html)
